gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Fos,24007.8324822183,2.238187755021922e-4,0.0014513690533584159,0.6871180026258704,0.9999740296735196
Ttc7,3077.412546327192,2.1251508326815104e-4,0.0014501978504491294,0.9567001287833512,0.9999740296735196
Ctsl,7511.230598185946,2.1190280208826826e-4,0.0014503169689502448,0.6527680216660987,0.9999740296735196
Mkrn1,1628.5395616779315,1.998785401948219e-4,0.0014494586197733507,0.5083844264081567,0.9999740296735196
Ybx3,19679.931754360638,1.9160800950667408e-4,0.0014488543530661597,0.8808229823891122,0.9999740296735196
Nxf1,4022.443188663422,1.914684605946704e-4,0.0014489301149592237,0.4452411803575429,0.9999740296735196
Mief1,500.7156961647584,1.814797594656669e-4,0.001448296557047066,0.49688340563251054,0.9999740296735196
Tmem154,2291.677889268566,1.7928324211774103e-4,0.0014479282514894372,0.5310966576582653,0.9999740296735196
Zbtb7b,5192.371094859295,1.6514456329681402e-4,0.0014471336391445914,0.8797216843987782,0.9999740296735196
Elovl1,7528.102417012785,1.5848542719931703e-4,0.0014469033088346749,0.7097950044739195,0.9999740296735196
Sdha,2295.527914289128,1.5218118935989486e-4,0.0014463290179594934,0.8024351553986068,0.9999740296735196
Cd9,13821.559091824547,1.476554199910577e-4,0.0014462090058397186,0.5099297073474602,0.9999740296735196
Fem1c,466.964044029505,1.457980571501707e-4,0.0014462147057683872,0.28241913925585344,0.9999740296735196
Wdr45,971.6059471871488,1.4507931566855369e-4,0.0014460999237743287,0.7860187307799557,0.9999740296735196
Tet3,4058.9623224619245,1.4184128553321537e-4,0.0014460401298761526,0.41390155610308105,0.9999740296735196
Emp2,13507.960019906728,1.3973701654719907e-4,0.0014455645742808007,0.9393010768424069,0.9999740296735196
Tsg101,1865.8059514691784,1.3903518007117187e-4,0.0014457888758483911,0.7012709183936828,0.9999740296735196
Krt14,166414.26914919048,1.3507124087587072e-4,0.0014457468607205174,0.6114805412956421,0.9999740296735196
Parp8,496.1227011206131,1.303883569841e-4,0.0014454527421095906,0.838089738990246,0.9999740296735196
Sat1,5700.413317538423,1.3021862372415715e-4,0.0014453572255793779,0.42434934301469085,0.9999740296735196
Stau1,1701.5293528086283,1.2339230019260398e-4,0.0014449635751702073,0.781197658979367,0.9999740296735196
Hsdl1,890.7063287108313,1.2117521368182274e-4,0.0014449488131534531,0.2794301992783084,0.9999740296735196
Tnpo1,1721.0316440568538,1.2035036848241904e-4,0.0014450777191887586,0.6065921404966282,0.9999740296735196
Septin8,4636.489255474679,1.1938261728265323e-4,0.0014447147261947995,0.09443229852529136,0.9999740296735196
Uhrf1,632.7965989402455,1.1873055560858563e-4,0.0014450253124382339,0.6270637864760972,0.9999740296735196
Rpap1,825.9036825470223,1.180983530547883e-4,0.0014448236010553754,0.5909711711983404,0.9999740296735196
Rab8b,1652.651887232965,1.128794921996509e-4,0.0014446016154798002,0.2060118796522932,0.9999740296735196
Xrn2,1478.557666687646,1.1037519671773567e-4,0.001444442460271971,0.9183935393291526,0.9999740296735196
Fbxl19,1407.2407200555108,1.1011373227159816e-4,0.0014446053254196147,0.365943069927143,0.9999740296735196
Nploc4,1822.910365913101,1.0976140134816879e-4,0.0014444225106782615,0.7560330278511989,0.9999740296735196
Commd7,966.0755588920175,1.0844705008326894e-4,0.0014444491338869655,0.3518400358265161,0.9999740296735196
Stx7,658.02629655761,1.0810421352772743e-4,0.0014445287565618484,0.8664641641619517,0.9999740296735196
Wiz,2174.3853865540673,1.0760142289626858e-4,0.001444350325948744,0.7027419771867534,0.9999740296735196
Atp5g3,2185.4575267396303,1.0596450812256666e-4,0.0014444998826777496,0.5000173293535495,0.9999740296735196
Cnot2,1164.7573420296048,1.0560492826792592e-4,0.0014442429242245323,0.5691860091468629,0.9999740296735196
Cc2d1b,1914.3823210354608,1.0497578807588003e-4,0.0014440938195066021,0.6618806716464862,0.9999740296735196
Psmb5,1878.0076837085553,1.0487943796848019e-4,0.0014444972118071108,0.8166771546999814,0.9999740296735196
Ralgps2,1326.5656828432836,1.0431750179556838e-4,0.0014441716706314826,0.9328180074424521,0.9999740296735196
Kctd18,558.7040965536138,1.0306375819125957e-4,0.0014443057156372022,0.7037627639406898,0.9999740296735196
Cand1,1960.7545460124677,1.0302691328524e-4,0.001443992512333343,0.6829034583202671,0.9999740296735196
Cog2,812.8898447083556,1.0263007693371866e-4,0.001444294473085171,0.5971177162818302,0.9999740296735196
Extl1,1686.6396071255424,1.0099184798148048e-4,0.001444142293518521,0.7801479781886878,0.9999740296735196
Man2b1,1210.917746542384,9.926969255557669e-5,0.00144414473174645,0.16740388498756498,0.9999740296735196
Myo9a,867.4527028964934,9.537851243602209e-5,0.0014440990542595312,0.7938345945843432,0.9999740296735196
Ppp1r12b,474.6712475717544,9.383142072577875e-5,0.001444115749133626,0.4302134473376196,0.9999740296735196
Strip1,1715.7335968838672,9.345193186291279e-5,0.0014439292027218198,0.19879519016581154,0.9999740296735196
Pip4k2c,1479.437661589338,9.266317969867688e-5,0.0014437580114500079,0.9011079783467493,0.9999740296735196
Sh2d4a,1692.6222433225785,9.104695720486006e-5,0.0014436564163507234,0.24181826591560407,0.9999740296735196
Fuca2,1370.090706174164,9.065281088421066e-5,0.0014437158997858272,0.41643719642844695,0.9999740296735196
Inpp5k,1536.8563133792873,9.009516614494452e-5,0.0014437939506609374,0.6591529268026006,0.9999740296735196
Cers3,1748.5139511161967,8.946930435909922e-5,0.0014437724009525865,0.653931771576685,0.9999740296735196
Atxn1l,933.6465563688454,8.946664478598762e-5,0.0014439709553716637,0.5858454439744569,0.9999740296735196
