gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Lce1f,5381.838681336307,0.0018063740544852801,0.02674253675581493,0.19939512983994373,0.5950117881159382
Zfp386,354.9461950129576,0.0018028492630029868,0.026358430711531468,0.6978386228978761,0.8617534782416617
Klhdc1,153.09953131091552,0.0018000346282655323,0.026053478247972578,0.7640112464835951,0.894135352152703
Rybp,803.7202509445232,0.001795087111803291,0.026125875438871137,0.7540035715084819,0.8893431611664087
Aoc2,120.99153614430149,0.001793977404446493,0.026352715320897054,0.6998570560830876,0.8626049221556805
Vmac,280.936312592621,0.0017928746165549257,0.02525736834643893,0.8306345906290957,0.9246729913774008
Atp1b1,233.98653211598418,0.0017923708453461496,0.02645715402127603,0.6596823630776423,0.841473168189186
Sult2a3,32.19243797412774,0.001790799099762684,0.026443244842211406,0.6659200032009915,0.8448300946576779
Krt25,142.31553737108004,0.0017902352586809972,0.026728983891544753,0.2662200511034689,0.6241398323140831
Afap1l1,69.51112649960807,0.0017892259343129406,0.026505019218283982,0.633229823352673,0.8278627099790616
Nt5m,181.44713400904448,0.0017851628178304918,0.025709457587446076,0.8062777497601294,0.9140965778268805
Pglyrp3,142.7614658553298,0.0017831485754607362,0.026389390816271313,0.6898051533482618,0.8565789606810593
Micall1,3223.3732550389414,0.0017821968977842029,0.025796720402840673,0.7967248649770919,0.9095301228639465
Maml3,641.8954783111421,0.001780134678420814,0.025256944457874346,0.8321270323725072,0.925522282800088
Exoc8,159.5149875007488,0.0017775968858305291,0.026609540751193126,0.5476635778782568,0.7818080168767566
Wdr76,216.75980312273995,0.0017774675816558544,0.026100818627978306,0.7598309859258527,0.8926925559334755
Lce1c,8671.96004777334,0.0017772139472216188,0.02673858386083933,0.21289841726295966,0.5995463443871981
Sema3d,4108.465611388812,0.0017743225542773103,0.025397490566540344,0.7578032956184046,0.8916618893525079
Flrt2,150.1843270803118,0.0017742529057049778,0.026270892912212306,0.7261707983587955,0.8773319404461872
Tnks,799.5014715175982,0.0017716235349992482,0.025692818688331082,0.805971040919759,0.9139780736667665
Pla2g6,197.11924591378778,0.0017715292831651105,0.026033938300117763,0.7058209865340532,0.866050667634643
Metrnl,1483.0321253295026,0.0017658317818256483,0.02637877380790682,0.6951854725460864,0.8604496145360021
Krt6a,3013.770920632854,0.001764420624447188,0.026311514466618665,0.7303661975601008,0.8786463300952609
Hs3st1,28.952563343418518,0.001763639954915022,0.026550659224859822,0.6057156186352297,0.8112786821610621
Pbdc1,454.03378657652655,0.0017599120758693303,0.025484675832516967,0.8241450329147701,0.9222521296960269
Zfp3,72.73040747031213,0.0017597023452373328,0.026026748724564553,0.7739171679023833,0.8972252878372624
Man2c1,1468.157519026727,0.0017577067800396203,0.02452149986137227,0.8589781079826749,0.9399075165756178
Tnfsf8,38.313801543711016,0.0017571311512181392,0.026502967923599102,0.6392848283217472,0.831484539028228
Sowahb,154.332777849283,0.0017551114672851066,0.026354914334176024,0.7044444404282224,0.8652330494744465
Grin2d,90.34513845664661,0.0017535902964335868,0.026332516728311866,0.7117287871045012,0.8690110055416054
Pla2g4b,170.06724711032922,0.0017508285113680489,0.02674041657223846,0.1907043868622996,0.5931871993408661
Nsun6,163.37743462796857,0.0017503242819757398,0.02563409491912932,0.8932315856508747,0.9573537791840068
Vmn2r29,24.803506927446847,0.0017489011706565269,0.026702505041467484,0.3657770829840454,0.6759868101191908
Fmo2,1626.563883262848,0.0017487557582935827,0.026735435641307245,0.10010474201628698,0.5880107207805829
Pkn2,920.6448014648157,0.001746597472487262,0.02490963847280515,0.8575604844675369,0.9393118357569169
Entpd7,145.80070439736852,0.0017465381726053902,0.02611953781391151,0.7600628736731891,0.8926925559334755
Arhgef11,1654.2335850301606,0.00174648476068241,0.024905714703650238,0.8585097808824509,0.9398078522553102
1110065P20Rik,221.7668085576267,0.0017463857190476747,0.02615593062795472,0.7541867115357673,0.8893869622147181
B3gntl1,268.1452962457994,0.0017456721915436633,0.026104914109910993,0.7341621393980352,0.8806689603093367
Klhl15,251.21991071372307,0.0017439612273901113,0.02584137721318073,0.7968877814903546,0.9095301228639465
Ddx31,139.84681980101914,0.0017401104980877252,0.026028058124703005,0.7747142424810921,0.8973266693576748
Reep1,38.91494474923286,0.0017360731936750416,0.026344217224592417,0.7104778417812521,0.8686890159065387
Csrnp2,240.4049488468289,0.0017346472586041582,0.02666224585288469,0.471170869659577,0.735129970375409
Arpp19,1406.850585842644,0.00173114004125913,0.024699127506975827,0.8565424034184799,0.9392392628146439
Elmod2,295.7625092039569,0.001730097009329364,0.02538692713110464,0.8172926248375155,0.9194617556463062
